ip,status,bytes_sent,hour,day_of_week,is_night,is_api_call,is_admin_call,endpoint_length,is_error,is_success,is_redirect,ua_length,ua_is_missing,ua_has_bot_like_keyword,ua_has_browser_keyword,referrer_is_missing,referrer_is_internal,ml_pred,final_prediction
113.199.229.4,200,74190,6,2,0,0,0,31,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,509371,6,2,0,0,0,32,0,1,0,125,0,0,1,0,0,0,0
113.199.229.4,200,3,6,2,0,1,0,34,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,469,6,2,0,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,6,2,0,1,0,39,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,469,6,2,0,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,469,6,2,0,1,0,28,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,325,6,2,0,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,28,6,2,0,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,448,6,2,0,1,0,15,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,3,6,2,0,1,0,32,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,24,6,2,0,1,0,37,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,200,93,6,2,0,1,0,26,0,1,0,125,0,0,1,1,0,1,1
113.199.229.4,101,232,6,2,0,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,6,2,0,0,0,17,0,0,0,125,0,0,1,1,0,1,1
113.199.229.4,101,0,6,2,0,0,0,17,0,0,0,125,0,0,1,1,0,1,1
